Role,Name
Game Design,Blizzard Entertainment
Executive Producer,Mike Morhaime
Team Lead,Mark Kern
Art Director,William Petras
Creative Director,Chris Metzen
Lead Animator,Kevin Beardslee
Lead Artist,Justin Thavirat
Lead Character Artist,Brandon Idol
Lead Designers,Rob Pardo
Lead Designers,Allen Adham
Lead Programmer,John Cash
Lead Technical Artist,Kyle Harrison
Producers,Shane Dabiri
Producers,Carlos Guerrero
Additional Production,Chris Sigaty
Programming,Jesse Blomberg
Programming,Dan Buckler
Programming,Robert Bridenbecker
Programming,Jeff Chow
Programming,Scott Hartin
Programming,Sam Lantinga
Programming,Twain Martin
Programming,Loren McQuade
Programming,Collin Murray
Programming,David Ray
Programming,Joe Rumsey
Programming,Derek Sakamoto
Programming,Tim Truesdale
Programming,Matthew Versluys
Programming,Jeremy Wood
Additional Programming,James Anhalt III
Additional Programming,Andy Bond
Additional Programming,Bob Fitch
Additional Programming,Don Grey
Additional Programming,Monte Krol
Additional Programming,Graham Madarasz
Additional Programming,Jay Patel
Additional Programming,Evelyn Smith
Install/Patch/Distribution Programming,Brian Fitzgerald
Install/Patch/Distribution Programming,John Mikros
Install/Patch/Distribution Programming,John Stiles
Install/Patch/Distribution Programming,Tony Tribelli
Install/Patch/Distribution Programming,Stephen C. Wong
Install/Patch/Distribution Producer,Derek Simmons
Macintosh Programming,John Mikros
Additional Macintosh Programming,Rob Barris
Additional Macintosh Programming,John Stiles
Animators,Adam Byrne
Animators,Jay Hathaway
Animators,Eric Henze
Animators,Solomon Lee
Dungeon/City Artists,"Jose Aello, Jr."
Dungeon/City Artists,Roger Eberhart
Dungeon/City Artists,Dana Jan
Dungeon/City Artists,Aaron Keller
Dungeon/City Artists,Jimmy Lo
Dungeon/City Artists,Matt Mocarski
Dungeon/City Artists,Brian Morrisroe
Dungeon/City Artists,Jamin Shoulet
Dungeon/City Artists,John Staats
World Content Artists,Carlo Arellano
World Content Artists,Sam Didier
World Content Artists,Brian Hsu
World Content Artists,Roman Kenney
World Content Artists,Maxx Marshall
World Content Artists,Matt Milizia
World Content Artists,Dan Moore
World Content Artists,Ted Park
World Content Artists,Gary Platner
Technical Artist,Peter Underwood
Exterior Level Designers,Bo Bell
Exterior Level Designers,James Chadwick
Exterior Level Designers,Mark Downie
Exterior Level Designers,Alen Lapidis
Exterior Level Designers,Matt Sanders
Additional Art,Dave Berggren
Additional Art,Allen Dilling
Additional Art,Toph Gorham
Additional Art,Trevor Jacobs
Additional Art,Tom Jung
Additional Art,Cameron Lamprecht
Additional Art,Rob McNaughton
Additional Art,Mickey Nielson
Additional Art,Matt Oursbourn
Game Designers,Tom Chilton
Game Designers,Eric Dodds
Game Designers,Michael Heiberg
Game Designers,Kevin Jordan
Game Designers,Jeffrey Kaplan
Game Designers,John Yoo
Quest Designers,Alex Afrasiabi
Quest Designers,Michael Backus
Quest Designers,Suzanne Brownell
Quest Designers,Shawn Carnes
Quest Designers,Michael Chu
Quest Designers,Jeffrey Kaplan
Quest Designers,Pat Nagle
World Designers,Geoff Goodman
World Designers,Andy Kirton
World Designers,Joshua Kurtz
World Designers,Steven Pierce
Additional Design,Tom Cadwell
Additional Design,Dave Fried
Additional Design,Dave Hale
Additional Design,Eric Maloof
Additional Design,Scott Mercer
Additional Design,Matt Morris
Additional Design,Jennifer Powell
Additional Design,Dean Shipley
"Cinematic Intro Director, Writer",Matt Samia
"Cinematic Trailer Director, Writer",Harley D. Huggins II
Cinematics Producer,Scott Abeyta
Video Processing & Post Production Supervisor,Joeyray Hall
Cinematic Artists,Jonathan Berube
Cinematic Artists,Nicholas S. Carpenter
Cinematic Artists,Jeff Chamberlain
Cinematic Artists,Aaron Chan
Cinematic Artists,Ben Dai
Cinematic Artists,Fausto DeMartini
Cinematic Artists,Sheng Jin
Cinematic Artists,Jeramiah Johnson
Cinematic Artists,Jon Lanz
Cinematic Artists,James McCoy
Cinematic Artists,Matthew Mead
Cinematic Artists,Joe Peterson
Cinematic Artists,"Dennis ""wiz"" Price"
